[2, 8, 7, 1, 4, 5, 6, 3, 9]
[9, 2, 4, 3, 7, 5, 1, 6, 8]
[5, 8, 3, 1, 9, 2, 6, 4, 7]
[3, 7, 9, 2, 5, 4, 1, 6, 8]
[9, 5, 8, 4, 3, 2, 1, 7, 6]
[3, 6, 9, 8, 2, 1, 7, 4, 5]
[1, 8, 4, 2, 3, 6, 7, 5, 9]
[4, 9, 1, 3, 6, 7, 5, 8, 2]
[2, 9, 8, 3, 7, 6, 1, 5, 4]
[7, 8, 5, 6, 9, 1, 3, 4, 2]
[3, 9, 4, 1, 5, 2, 6, 8, 7]
[2, 1, 7, 9, 4, 3, 6, 8, 5]
[3, 5, 6, 2, 7, 8, 1, 9, 4]
[2, 7, 6, 1, 4, 8, 5, 9, 3]
[4, 6, 5, 2, 8, 1, 3, 9, 7]
[8, 7, 5, 2, 1, 9, 4, 6, 3]
[6, 2, 3, 8, 7, 5, 9, 1, 4]
[9, 2, 4, 7, 1, 8, 3, 6, 5]
[6, 1, 3, 8, 7, 2, 4, 9, 5]
[9, 7, 8, 3, 1, 2, 5, 4, 6]
